Student_Name,Register_Number,Fees_Details,Fees_Status,Attendance_Percentage,Books_Borrowed,Scholarship_Eligibility,Contact_Number,Email_ID,Date_of_Birth,Faculty,CGPA,College_Joining_Date,Major,Emergency_Contact,Guardian_Name,Hostel_Room,Transportation_Mode,LinkedIn_Profile,Internship_Status,Year_of_Passing,Hobbies,Blood_Group,Nationality
Shayak Ram,REG1016,Pending,Due,72.91,Yes,Not Eligible,9149908564,zyogi@hotmail.com,2006-08-24,Science,9.46,2026-11-27,Mechanical,9725882542,Parent of Shayak Ram,H43,Bike,https://linkedin.com/in/shayak-ram,Not Started,2030,"Drawing, Coding",AB+,Indian
Tiya Ratta,REG1017,Paid in Full,No Due,60.93,Yes,Not Eligible,6290796681,nishithacharya@keer.com,2001-12-11,Science,9.09,2022-01-02,Civil,9826513439,Parent of Tiya Ratta,H440,Car,https://linkedin.com/in/tiya-ratta,Not Started,2026,"Music, Travel",AB-,Indian
Yuvraj  Sodhi,REG1018,Paid in Full,No Due,95.36,No,Eligible,7421302832,swamyeshani@sama-chawla.com,2002-09-03,Arts,9.1,2021-09-02,Mechanical,9476252223,Parent of Yuvraj  Sodhi,H224,Car,https://linkedin.com/in/yuvraj--sodhi,Completed,2025,"Coding, Travel",AB-,Indian
Tanya Kari,REG1019,Paid in Full,No Due,82.3,No,Eligible,7329648319,goyalchirag@bhavsar.info,2003-07-12,Arts,6.85,2023-06-27,Electronics,9573495182,Parent of Tanya Kari,H183,Bike,https://linkedin.com/in/tanya-kari,Ongoing,2027,"Photography, Coding",AB+,Indian
Shaan Subramanian,REG1020,Partial Payment,Due,95.72,No,Eligible,2127684252,dharmajancheema@hotmail.com,2000-10-12,Arts,7.1,2021-01-24,Civil,9474108208,Parent of Shaan Subramanian,H209,Bus,https://linkedin.com/in/shaan-subramanian,Not Started,2025,"Drawing, Coding",A+,Indian
Aarna Krishna,REG1021,Partial Payment,Due,92.0,No,Not Eligible,915070729810,purab43@yahoo.com,2001-09-27,Science,8.9,2020-01-14,Mechanical,9934537364,Parent of Aarna Krishna,H365,Bus,https://linkedin.com/in/aarna-krishna,Not Started,2024,"Coding, Photography",O+,Indian
Badal Dey,REG1022,Paid in Full,No Due,70.64,No,Not Eligible,917256527548,ishaan07@shetty.net,2003-03-07,Engineering,5.52,2022-02-15,Information Technology,9651729199,Parent of Badal Dey,H200,Car,https://linkedin.com/in/badal-dey,Ongoing,2026,"Photography, Coding",AB-,Indian
Purab Sant,REG1023,Partial Payment,Due,60.57,Yes,Not Eligible,6777007502,gatiktank@chadha-sinha.com,2001-01-23,Arts,7.17,2020-02-28,Information Technology,9832710694,Parent of Purab Sant,H195,Bike,https://linkedin.com/in/purab-sant,Ongoing,2024,"Sports, Reading",AB+,Indian
Lavanya Banik,REG1024,Pending,Due,76.92,No,Eligible,7985662833,ivana71@bhagat-acharya.info,2008-01-23,Science,8.0,2026-03-18,Information Technology,9538638143,Parent of Lavanya Banik,H144,Car,https://linkedin.com/in/lavanya-banik,Ongoing,2030,"Photography, Coding",AB-,Indian
Inaaya  Grewal,REG1025,Partial Payment,Due,63.95,Yes,Not Eligible,9877578180,prerakkaran@yahoo.com,2006-02-06,Science,6.1,2025-04-28,Civil,9099605957,Parent of Inaaya  Grewal,H458,Walk,https://linkedin.com/in/inaaya--grewal,Ongoing,2029,"Sports, Reading",O-,Indian
Vaibhav Raman,REG1026,Paid in Full,No Due,93.59,Yes,Not Eligible,913367580545,zeeshansankaran@kulkarni.net,2002-04-11,Engineering,6.71,2020-07-15,AI & DS,9047477234,Parent of Vaibhav Raman,H235,Bike,https://linkedin.com/in/vaibhav-raman,Completed,2024,"Reading, Coding",B+,Indian
Zain Karan,REG1027,Pending,Due,89.9,Yes,Not Eligible,6275487140,qkar@gmail.com,2005-02-11,Arts,6.44,2023-05-22,Computer Science,9098404664,Parent of Zain Karan,H165,Bus,https://linkedin.com/in/zain-karan,Not Started,2027,"Coding, Photography",A+,Indian
Vihaan Trivedi,REG1028,Paid in Full,No Due,74.94,No,Not Eligible,5728119768,taimurchokshi@chaudhuri.com,2007-01-27,Science,5.77,2024-12-28,Information Technology,9475198957,Parent of Vihaan Trivedi,H458,Walk,https://linkedin.com/in/vihaan-trivedi,Completed,2028,"Sports, Music",O-,Indian
Sumer Bhalla,REG1029,Pending,Due,65.17,Yes,Not Eligible,9376293241,zram@lanka-uppal.com,2008-01-09,Engineering,6.78,2025-12-02,Civil,9799995845,Parent of Sumer Bhalla,H346,Walk,https://linkedin.com/in/sumer-bhalla,Completed,2029,"Music, Reading",O-,Indian
Gokul Deol,REG1030,Partial Payment,Due,70.92,Yes,Not Eligible,692325818,cheemasuhana@reddy.com,2004-10-04,Engineering,6.01,2023-05-29,Mechanical,9260934437,Parent of Gokul Deol,H438,Walk,https://linkedin.com/in/gokul-deol,Not Started,2027,"Reading, Reading",O-,Indian
Purab Golla,REG1031,Paid in Full,No Due,92.91,Yes,Not Eligible,8522355105,sastrypriyansh@yahoo.com,2007-04-12,Science,6.51,2027-01-30,Mechanical,9916765805,Parent of Purab Golla,H306,Walk,https://linkedin.com/in/purab-golla,Completed,2031,"Coding, Travel",O-,Indian
Trisha Dixit,REG1032,Paid in Full,No Due,72.95,No,Not Eligible,913527584903,taran28@yahoo.com,2004-07-19,Arts,8.32,2023-03-09,Civil,9210523589,Parent of Trisha Dixit,H90,Walk,https://linkedin.com/in/trisha-dixit,Ongoing,2027,"Sports, Reading",O-,Indian
Raunak Dugar,REG1033,Paid in Full,No Due,70.92,Yes,Not Eligible,7110190621,priyanshdesai@chaudhary.com,2006-08-16,Engineering,5.68,2025-03-17,AI & DS,9434211730,Parent of Raunak Dugar,H231,Bike,https://linkedin.com/in/raunak-dugar,Ongoing,2029,"Drawing, Photography",B+,Indian
Mamooty Kakar,REG1034,Paid in Full,No Due,96.17,Yes,Not Eligible,916872207910,jsubramaniam@kannan.com,2004-05-09,Science,5.57,2023-05-08,Civil,9221404920,Parent of Mamooty Kakar,H421,Bus,https://linkedin.com/in/mamooty-kakar,Ongoing,2027,"Drawing, Photography",A+,Indian
Ritvik Taneja,REG1035,Pending,Due,86.03,No,Not Eligible,9714344688,nityavyas@acharya.com,2000-02-15,Engineering,9.04,2019-11-14,Information Technology,9708263367,Parent of Ritvik Taneja,H368,Car,https://linkedin.com/in/ritvik-taneja,Not Started,2023,"Coding, Photography",AB-,Indian
Neelofar Mand,REG1036,Paid in Full,No Due,85.45,No,Not Eligible,4877095595,rajagopallakshit@bala.com,2005-10-09,Engineering,6.73,2025-03-27,Civil,9262271224,Parent of Neelofar Mand,H225,Bus,https://linkedin.com/in/neelofar-mand,Not Started,2029,"Travel, Sports",A+,Indian
Saksham Gopal,REG1037,Paid in Full,No Due,66.62,Yes,Eligible,126719674,yakshitchana@hotmail.com,2002-06-18,Science,7.63,2021-12-27,AI & DS,9786201466,Parent of Saksham Gopal,H467,Bike,https://linkedin.com/in/saksham-gopal,Ongoing,2025,"Drawing, Photography",B+,Indian
Mahika Dubey,REG1038,Partial Payment,Due,79.96,Yes,Eligible,3798292128,vedikacheema@gmail.com,2001-11-08,Engineering,8.81,2020-01-25,AI & DS,9165465688,Parent of Mahika Dubey,H189,Bus,https://linkedin.com/in/mahika-dubey,Completed,2024,"Photography, Photography",A+,Indian
Jivin Suresh,REG1039,Partial Payment,Due,84.31,No,Not Eligible,918510057805,balanshamik@dhar.com,2002-05-13,Arts,7.6,2020-04-10,Computer Science,9662531265,Parent of Jivin Suresh,H266,Walk,https://linkedin.com/in/jivin-suresh,Not Started,2024,"Coding, Photography",A-,Indian
Priyansh Dar,REG1040,Paid in Full,No Due,87.06,No,Not Eligible,915947260229,kiaragolla@bansal.biz,2007-09-22,Science,5.4,2026-10-31,Electronics,9032295704,Parent of Priyansh Dar,H205,Bus,https://linkedin.com/in/priyansh-dar,Not Started,2030,"Travel, Sports",A+,Indian
Advika Sibal,REG1041,Paid in Full,No Due,80.53,No,Eligible,1713319931,lagan43@agate-som.org,2007-05-12,Arts,8.16,2027-11-21,AI & DS,9393778033,Parent of Advika Sibal,H34,Walk,https://linkedin.com/in/advika-sibal,Completed,2031,"Coding, Travel",A-,Indian
Ira Cheema,REG1042,Partial Payment,Due,71.71,No,Eligible,919768547115,msastry@yahoo.com,2003-05-08,Engineering,6.55,2023-06-08,Mechanical,9348708899,Parent of Ira Cheema,H400,Car,https://linkedin.com/in/ira-cheema,Completed,2027,"Coding, Travel",B-,Indian
Saanvi Dhillon,REG1043,Partial Payment,Due,66.08,Yes,Not Eligible,912492836737,krau@brar.com,2006-09-07,Science,9.44,2025-05-02,Mechanical,9995383029,Parent of Saanvi Dhillon,H30,Walk,https://linkedin.com/in/saanvi-dhillon,Completed,2029,"Music, Reading",O-,Indian
Keya Comar,REG1044,Partial Payment,Due,84.52,Yes,Eligible,910778021697,vtalwar@hotmail.com,2007-10-13,Science,8.05,2028-03-18,Information Technology,9005044528,Parent of Keya Comar,H29,Bus,https://linkedin.com/in/keya-comar,Not Started,2032,"Coding, Photography",A+,Indian
Ranbir Gaba,REG1045,Paid in Full,No Due,87.65,Yes,Eligible,4656223679,ikrishnan@shroff.org,2007-12-25,Arts,6.03,2027-09-19,Electronics,9558288719,Parent of Ranbir Gaba,H220,Car,https://linkedin.com/in/ranbir-gaba,Ongoing,2031,"Reading, Music",AB-,Indian
Hazel Sehgal,REG1046,Paid in Full,No Due,71.39,Yes,Eligible,916022124537,divij68@gmail.com,2005-04-22,Science,6.17,2024-08-03,AI & DS,9087875854,Parent of Hazel Sehgal,H355,Bike,https://linkedin.com/in/hazel-sehgal,Ongoing,2028,"Reading, Music",AB+,Indian
Jiya Choudhury,REG1047,Paid in Full,No Due,98.24,Yes,Eligible,9719886648,anneojas@yahoo.com,2000-12-24,Engineering,9.23,2018-12-31,Electronics,9315865271,Parent of Jiya Choudhury,H272,Car,https://linkedin.com/in/jiya-choudhury,Not Started,2022,"Reading, Reading",AB-,Indian
Manjari Kala,REG1048,Partial Payment,Due,74.85,No,Not Eligible,8503289180,lokesamar@hotmail.com,2000-05-09,Arts,9.06,2018-08-27,Civil,9133734635,Parent of Manjari Kala,H136,Car,https://linkedin.com/in/manjari-kala,Completed,2022,"Travel, Drawing",B-,Indian
Adira Tandon,REG1049,Pending,Due,96.83,No,Eligible,2159187089,chadelakshi@dash.com,2001-03-02,Engineering,5.74,2020-11-16,Computer Science,9453088464,Parent of Adira Tandon,H465,Bus,https://linkedin.com/in/adira-tandon,Completed,2024,"Sports, Music",A+,Indian
Ayesha Raj,REG1050,Partial Payment,Due,70.7,Yes,Eligible,5860150251,reneedani@hotmail.com,2004-02-11,Science,8.31,2023-10-01,Electronics,9086643156,Parent of Ayesha Raj,H157,Bus,https://linkedin.com/in/ayesha-raj,Ongoing,2027,"Coding, Sports",O+,Indian
Nitya Deep,REG1051,Pending,Due,90.07,Yes,Eligible,2994422338,ltripathi@gmail.com,2004-05-16,Engineering,6.1,2024-04-27,Information Technology,9323966625,Parent of Nitya Deep,H126,Walk,https://linkedin.com/in/nitya-deep,Not Started,2028,"Reading, Reading",A-,Indian
Jayan Shenoy,REG1052,Paid in Full,No Due,81.19,No,Eligible,8035108343,sairaganesh@bajwa.org,2007-11-16,Engineering,6.99,2025-11-24,Civil,9300850219,Parent of Jayan Shenoy,H220,Car,https://linkedin.com/in/jayan-shenoy,Not Started,2029,"Travel, Sports",B-,Indian
Ahana  Chahal,REG1053,Partial Payment,Due,84.77,Yes,Not Eligible,913720910713,faiyaz43@doctor.biz,2007-06-26,Science,5.41,2026-07-23,Civil,9262490473,Parent of Ahana  Chahal,H474,Walk,https://linkedin.com/in/ahana--chahal,Ongoing,2030,"Coding, Sports",A-,Indian
Diya Lala,REG1054,Paid in Full,No Due,92.23,No,Eligible,3998106446,sraj@yahoo.com,2003-02-24,Engineering,8.89,2021-08-25,Electronics,9490193039,Parent of Diya Lala,H40,Car,https://linkedin.com/in/diya-lala,Completed,2025,"Reading, Coding",AB-,Indian
Ranbir Gole,REG1055,Pending,Due,77.86,No,Not Eligible,6288028301,karpeyuvraj@chokshi-mani.com,2003-05-29,Science,6.38,2022-09-04,Computer Science,9298541084,Parent of Ranbir Gole,H85,Bus,https://linkedin.com/in/ranbir-gole,Ongoing,2026,"Reading, Music",O+,Indian
Ayesha Badami,REG1056,Pending,Due,63.27,No,Eligible,913393721887,azad34@bhavsar.info,2006-03-18,Science,9.69,2024-02-14,Electronics,9559448051,Parent of Ayesha Badami,H52,Car,https://linkedin.com/in/ayesha-badami,Completed,2028,"Drawing, Sports",B-,Indian
Aaryahi Gala,REG1057,Partial Payment,Due,80.56,Yes,Eligible,6557545746,goswamipurab@ahluwalia.info,2007-06-21,Arts,5.53,2026-06-10,Information Technology,9164442770,Parent of Aaryahi Gala,H271,Bike,https://linkedin.com/in/aaryahi-gala,Not Started,2030,"Sports, Drawing",B+,Indian
Jayan Khare,REG1058,Partial Payment,Due,93.78,Yes,Not Eligible,3606918612,nsem@gmail.com,2002-11-15,Arts,6.74,2023-03-19,Computer Science,9194835334,Parent of Jayan Khare,H335,Bike,https://linkedin.com/in/jayan-khare,Completed,2027,"Reading, Coding",AB+,Indian
Anay Choudhury,REG1059,Pending,Due,80.24,No,Eligible,3591411396,jayesh30@bajaj.com,2000-05-14,Science,8.74,2019-04-10,Civil,9777418200,Parent of Anay Choudhury,H201,Bus,https://linkedin.com/in/anay-choudhury,Not Started,2023,"Travel, Sports",A+,Indian
Mannat Doctor,REG1060,Pending,Due,60.86,Yes,Eligible,2457473706,aainaloyal@yahoo.com,2003-12-24,Science,9.64,2021-10-27,Civil,9520588137,Parent of Mannat Doctor,H138,Walk,https://linkedin.com/in/mannat-doctor,Not Started,2025,"Photography, Music",A-,Indian
Elakshi Kar,REG1061,Pending,Due,73.72,Yes,Eligible,8411711765,ramakrishnaneshani@yahoo.com,2003-02-06,Engineering,8.01,2021-05-02,Computer Science,9007241821,Parent of Elakshi Kar,H322,Walk,https://linkedin.com/in/elakshi-kar,Ongoing,2025,"Photography, Coding",O-,Indian
Mamooty Batta,REG1062,Pending,Due,62.18,No,Not Eligible,914609841446,sarnapranay@yahoo.com,2000-05-30,Engineering,6.42,2020-10-06,Civil,9199601857,Parent of Mamooty Batta,H358,Walk,https://linkedin.com/in/mamooty-batta,Ongoing,2024,"Coding, Sports",A-,Indian
Vihaan Kade,REG1063,Partial Payment,Due,69.01,Yes,Eligible,3876244566,mishti65@gmail.com,2005-12-09,Science,9.12,2024-11-26,Mechanical,9121791033,Parent of Vihaan Kade,H34,Walk,https://linkedin.com/in/vihaan-kade,Not Started,2028,"Coding, Photography",A-,Indian
Aniruddh Lalla,REG1064,Pending,Due,70.49,Yes,Eligible,9565947224,jayant80@majumdar.com,2005-08-15,Science,6.09,2024-05-31,Electronics,9948757714,Parent of Aniruddh Lalla,H215,Bike,https://linkedin.com/in/aniruddh-lalla,Not Started,2028,"Reading, Reading",B+,Indian
Lakshit Bera,REG1065,Pending,Due,67.6,No,Not Eligible,911437046157,wsabharwal@yahoo.com,2006-05-16,Arts,8.59,2024-04-17,AI & DS,9168542735,Parent of Lakshit Bera,H236,Car,https://linkedin.com/in/lakshit-bera,Completed,2028,"Sports, Music",AB-,Indian
Eshani Dyal,REG1066,Partial Payment,Due,86.85,Yes,Eligible,910720161938,isawhney@hotmail.com,2004-06-05,Science,7.85,2024-07-14,Information Technology,9052365374,Parent of Eshani Dyal,H375,Bike,https://linkedin.com/in/eshani-dyal,Completed,2028,"Music, Reading",AB+,Indian
Alisha Wali,REG1067,Partial Payment,Due,69.16,Yes,Eligible,6297635254,zachariahtushar@gmail.com,2007-12-07,Engineering,6.01,2027-03-15,Electronics,9240143256,Parent of Alisha Wali,H257,Bus,https://linkedin.com/in/alisha-wali,Completed,2031,"Sports, Music",A+,Indian
Shamik Varghese,REG1068,Pending,Due,86.89,Yes,Not Eligible,750962125,issacelakshi@dara.biz,2001-12-08,Arts,6.31,2021-05-05,Information Technology,9492607922,Parent of Shamik Varghese,H423,Bike,https://linkedin.com/in/shamik-varghese,Completed,2025,"Photography, Photography",B+,Indian
Faiyaz Tak,REG1069,Paid in Full,No Due,93.16,Yes,Eligible,1715418524,nishith48@hotmail.com,2001-09-14,Arts,8.87,2020-02-14,Civil,9855025016,Parent of Faiyaz Tak,H17,Bus,https://linkedin.com/in/faiyaz-tak,Not Started,2024,"Drawing, Coding",A+,Indian
Ira Chaudhary,REG1070,Pending,Due,69.13,No,Not Eligible,739310426,aarnachauhan@gmail.com,2001-09-27,Arts,8.58,2020-05-13,Mechanical,9857976255,Parent of Ira Chaudhary,H256,Car,https://linkedin.com/in/ira-chaudhary,Not Started,2024,"Reading, Reading",AB-,Indian
Shalv Kakar,REG1071,Pending,Due,94.23,No,Eligible,915989815063,divij84@dugar.com,2001-02-08,Science,5.69,2020-08-03,Civil,9911081349,Parent of Shalv Kakar,H350,Walk,https://linkedin.com/in/shalv-kakar,Not Started,2024,"Travel, Sports",O-,Indian
Vritika D’Alia,REG1072,Partial Payment,Due,65.99,No,Not Eligible,910202248660,mahika44@bera-kata.info,2005-07-08,Arts,6.27,2025-07-30,Information Technology,9019952311,Parent of Vritika D’Alia,H312,Car,https://linkedin.com/in/vritika-d’alia,Not Started,2029,"Photography, Music",AB-,Indian
Vanya Rege,REG1073,Paid in Full,No Due,81.02,No,Not Eligible,9976671162,krishnarania@rajan.info,2002-03-25,Engineering,9.16,2020-09-20,Mechanical,9279023140,Parent of Vanya Rege,H141,Bus,https://linkedin.com/in/vanya-rege,Completed,2024,"Reading, Coding",O+,Indian
Zara Issac,REG1074,Pending,Due,90.59,Yes,Not Eligible,1296112182,bbhakta@bhasin.com,2005-04-18,Arts,7.53,2023-08-01,Information Technology,9488724623,Parent of Zara Issac,H124,Car,https://linkedin.com/in/zara-issac,Completed,2027,"Photography, Photography",AB-,Indian
Tejas Baria,REG1075,Pending,Due,65.3,Yes,Eligible,9574589730,purab97@dhingra.com,2005-08-25,Arts,9.86,2025-01-01,Electronics,9910191031,Parent of Tejas Baria,H32,Car,https://linkedin.com/in/tejas-baria,Ongoing,2029,"Sports, Reading",AB-,Indian
Mishti Biswas,REG1076,Paid in Full,No Due,93.01,Yes,Eligible,1658727180,elakshi17@apte.com,2005-04-04,Arts,5.24,2024-11-03,Information Technology,9715148894,Parent of Mishti Biswas,H395,Bike,https://linkedin.com/in/mishti-biswas,Completed,2028,"Drawing, Sports",AB+,Indian
Pihu Bhagat,REG1077,Partial Payment,Due,93.86,Yes,Not Eligible,7344352990,aniruddhsetty@dutta.biz,2005-12-10,Science,9.16,2023-12-24,Information Technology,9218812016,Parent of Pihu Bhagat,H17,Bus,https://linkedin.com/in/pihu-bhagat,Not Started,2027,"Music, Travel",A+,Indian
Anahi Karan,REG1078,Pending,Due,69.21,Yes,Eligible,9256343672,bhavinraju@bajwa.com,2005-10-16,Engineering,7.75,2024-05-09,Civil,9784091882,Parent of Anahi Karan,H383,Bike,https://linkedin.com/in/anahi-karan,Ongoing,2028,"Drawing, Photography",B+,Indian
Kabir Bahri,REG1079,Partial Payment,Due,71.23,No,Not Eligible,3046012587,romilyohannan@chopra.com,2000-08-12,Arts,8.65,2020-10-02,Electronics,9700585592,Parent of Kabir Bahri,H93,Bus,https://linkedin.com/in/kabir-bahri,Completed,2024,"Coding, Travel",A+,Indian
Madhav Buch,REG1080,Partial Payment,Due,70.62,Yes,Eligible,4179721178,misha63@hotmail.com,2000-07-23,Science,9.06,2020-04-14,Information Technology,9389693180,Parent of Madhav Buch,H181,Bus,https://linkedin.com/in/madhav-buch,Completed,2024,"Music, Reading",O+,Indian
Samar Bansal,REG1081,Partial Payment,Due,87.01,Yes,Eligible,7891982286,kaurfateh@gmail.com,2002-02-10,Science,7.27,2020-08-20,Information Technology,9966212023,Parent of Samar Bansal,H24,Car,https://linkedin.com/in/samar-bansal,Completed,2024,"Photography, Photography",AB-,Indian
Yuvraj  Kari,REG1082,Pending,Due,63.36,No,Eligible,915053898586,ryanswamy@dyal.info,2001-05-19,Science,5.84,2020-01-02,AI & DS,9099419364,Parent of Yuvraj  Kari,H365,Bus,https://linkedin.com/in/yuvraj--kari,Not Started,2024,"Music, Travel",O+,Indian
Damini Bhatia,REG1083,Paid in Full,No Due,86.0,Yes,Eligible,7423270102,amira37@yahoo.com,2001-04-04,Arts,8.5,2020-07-04,Information Technology,9898373410,Parent of Damini Bhatia,H411,Bike,https://linkedin.com/in/damini-bhatia,Completed,2024,"Travel, Drawing",B+,Indian
Alisha Bobal,REG1084,Paid in Full,No Due,85.75,Yes,Eligible,2843882389,cganguly@khurana.net,2003-05-17,Engineering,6.52,2021-08-06,Civil,9967867179,Parent of Alisha Bobal,H180,Car,https://linkedin.com/in/alisha-bobal,Completed,2025,"Coding, Travel",B-,Indian
Raghav Soni,REG1085,Pending,Due,84.96,No,Eligible,911738532334,nvirk@yahoo.com,2005-09-23,Science,6.14,2025-04-21,Mechanical,9830831298,Parent of Raghav Soni,H299,Bike,https://linkedin.com/in/raghav-soni,Not Started,2029,"Travel, Sports",B+,Indian
Indranil Dass,REG1086,Paid in Full,No Due,67.57,Yes,Eligible,8867978619,umangmadan@gmail.com,2006-06-08,Science,5.7,2024-08-17,AI & DS,9135326147,Parent of Indranil Dass,H148,Car,https://linkedin.com/in/indranil-dass,Not Started,2028,"Sports, Drawing",B-,Indian
Vidur Kunda,REG1087,Paid in Full,No Due,66.58,No,Not Eligible,5343261633,dhanush32@kalla.com,2007-09-28,Arts,5.13,2026-03-07,Information Technology,9234532584,Parent of Vidur Kunda,H85,Bus,https://linkedin.com/in/vidur-kunda,Not Started,2030,"Travel, Sports",A+,Indian
Aarna Kar,REG1088,Pending,Due,89.11,Yes,Eligible,6412735489,divijmanne@kashyap-chanda.com,2002-04-02,Engineering,7.21,2020-01-22,AI & DS,9347802904,Parent of Aarna Kar,H405,Bus,https://linkedin.com/in/aarna-kar,Ongoing,2024,"Sports, Reading",A+,Indian
Aaina Cherian,REG1089,Partial Payment,Due,64.2,Yes,Not Eligible,557447201,renee40@dey.com,2001-01-05,Science,9.03,2019-12-15,Information Technology,9079217942,Parent of Aaina Cherian,H443,Bike,https://linkedin.com/in/aaina-cherian,Completed,2023,"Travel, Drawing",AB+,Indian
Nitya Sarma,REG1090,Paid in Full,No Due,99.84,No,Eligible,911799919450,nitya85@chowdhury.com,2004-10-10,Engineering,8.22,2025-02-10,Computer Science,9694498175,Parent of Nitya Sarma,H176,Car,https://linkedin.com/in/nitya-sarma,Not Started,2029,"Photography, Music",AB-,Indian
